word_tag,feature_index,_id,_sen_id
"[{'word': 'Let', 'ner': 'O', 'pos': 'VB'}, {'word': 'me', 'ner': 'O', 'pos': 'PRP'}, {'word': 'start', 'ner': 'O', 'pos': 'VB'}, {'word': 'by', 'ner': 'O', 'pos': 'IN'}, {'word': 'saying', 'ner': 'O', 'pos': 'VBG'}, {'word': 'I', 'ner': 'O', 'pos': 'PRP'}, {'word': 'love', 'ner': 'O', 'pos': 'VBP'}, {'word': 'Vue', 'ner': 'O', 'pos': 'NNP'}]",7,5a49ad3fb87c4f033c306d9f,0
"[{'word': 'It', 'ner': 'O', 'pos': 'PRP'}, {'word': 'is', 'ner': 'O', 'pos': 'VBZ'}, {'word': 'an', 'ner': 'O', 'pos': 'DT'}, {'word': 'awesome', 'ner': 'O', 'pos': 'JJ'}, {'word': 'framework', 'ner': 'O', 'pos': 'NN'}, {'word': 'you', 'ner': 'O', 'pos': 'PRP'}, {'word': 'guys', 'ner': 'O', 'pos': 'VBP'}, {'word': 'have', 'ner': 'O', 'pos': 'VBP'}, {'word': 'created', 'ner': 'O', 'pos': 'VBN'}, {'word': 'I', 'ner': 'O', 'pos': 'PRP'}, {'word': 'enjoy', 'ner': 'O', 'pos': 'VBP'}, {'word': 'using', 'ner': 'O', 'pos': 'VBG'}, {'word': 'it', 'ner': 'O', 'pos': 'PRP'}, {'word': 'and', 'ner': 'O', 'pos': 'CC'}, {'word': 'it', 'ner': 'O', 'pos': 'PRP'}, {'word': 'is', 'ner': 'O', 'pos': 'VBZ'}, {'word': 'at', 'ner': 'O', 'pos': 'IN'}, {'word': 'the', 'ner': 'O', 'pos': 'DT'}, {'word': 'very', 'ner': 'O', 'pos': 'RB'}, {'word': 'top', 'ner': 'O', 'pos': 'JJ'}, {'word': 'of', 'ner': 'O', 'pos': 'IN'}, {'word': 'Frameworks', 'ner': 'O', 'pos': 'NNP'}, {'word': 'of', 'ner': 'O', 'pos': 'IN'}, {'word': 'choice', 'ner': 'O', 'pos': 'NN'}]",30,5a49ad3fb87c4f033c306d9f,1
"[{'word': 'But', 'ner': 'O', 'pos': 'CC'}, {'word': 'from', 'ner': 'O', 'pos': 'IN'}, {'word': 'day', 'ner': 'O', 'pos': 'NN'}, {'word': 'one', 'ner': 'O', 'pos': 'CD'}, {'word': 'there', 'ner': 'O', 'pos': 'WDT'}, {'word': 'has', 'ner': 'O', 'pos': 'VBZ'}, {'word': 'been', 'ner': 'O', 'pos': 'VBN'}, {'word': 'one', 'ner': 'O', 'pos': 'CD'}, {'word': 'small', 'ner': 'O', 'pos': 'JJ'}, {'word': 'area', 'ner': 'O', 'pos': 'NN'}, {'word': 'where', 'ner': 'O', 'pos': 'WRB'}, {'word': 'I', 'ner': 'O', 'pos': 'PRP'}, {'word': 'found', 'ner': 'O', 'pos': 'VBD'}, {'word': 'Vue', 'ner': 'O', 'pos': 'NNP'}, {'word': 'lacking', 'ner': 'O', 'pos': 'VBG'}, {'word': 'this', 'ner': 'O', 'pos': 'DT'}, {'word': 'is', 'ner': 'O', 'pos': 'VBZ'}, {'word': 'in', 'ner': 'O', 'pos': 'IN'}, {'word': 'the', 'ner': 'O', 'pos': 'DT'}, {'word': 'Custom', 'ner': 'O', 'pos': 'NNP'}, {'word': 'Directives', 'ner': 'O', 'pos': 'NNP'}, {'word': 'department', 'ner': 'O', 'pos': 'NN'}]",12,5a49ad3fb87c4f033c306d9f,2
"[{'word': 'I', 'ner': 'O', 'pos': 'PRP'}, {'word': 'not_was', 'ner': 'O', 'pos': 'VBP'}, {'word': 'around', 'ner': 'O', 'pos': 'RB'}, {'word': 'for', 'ner': 'O', 'pos': 'IN'}, {'word': 'Vue', 'ner': 'O', 'pos': 'NNP'}, {'word': '1', 'ner': 'O', 'pos': 'CD'}, {'word': 'but', 'ner': 'O', 'pos': 'CC'}, {'word': 'from', 'ner': 'O', 'pos': 'IN'}, {'word': 'what', 'ner': 'O', 'pos': 'WP'}, {'word': 'I', 'ner': 'O', 'pos': 'PRP'}, {'word': 'not_can', 'ner': 'O', 'pos': 'VBP'}, {'word': 'not_gather', 'ner': 'O', 'pos': 'RB'}, {'word': 'a', 'ner': 'O', 'pos': 'DT'}, {'word': 'decision', 'ner': 'O', 'pos': 'NN'}, {'word': 'not_was', 'ner': 'O', 'pos': 'RB'}, {'word': 'not_made', 'ner': 'O', 'pos': 'VBN'}, {'word': 'to', 'ner': 'O', 'pos': 'TO'}, {'word': 'not_underpower', 'ner': 'O', 'pos': 'VB'}, {'word': 'Custom', 'ner': 'O', 'pos': 'NNP'}, {'word': 'Directives', 'ner': 'O', 'pos': 'NNPS'}, {'word': 'in', 'ner': 'O', 'pos': 'IN'}, {'word': 'favor', 'ner': 'O', 'pos': 'NN'}, {'word': 'of', 'ner': 'O', 'pos': 'IN'}, {'word': 'Components', 'ner': 'O', 'pos': 'NNS'}]",12,5a49ad3fb87c4f033c306d9f,3
"[{'word': 'And', 'ner': 'O', 'pos': 'CC'}, {'word': 'I', 'ner': 'O', 'pos': 'PRP'}, {'word': 'agree', 'ner': 'O', 'pos': 'VBP'}, {'word': 'when', 'ner': 'O', 'pos': 'WRB'}, {'word': 'you', 'ner': 'O', 'pos': 'PRP'}, {'word': 'are', 'ner': 'O', 'pos': 'VBP'}, {'word': 'developing', 'ner': 'O', 'pos': 'VBG'}, {'word': 'applications', 'ner': 'O', 'pos': 'NNS'}, {'word': 'Components', 'ner': 'O', 'pos': 'NNPS'}, {'word': 'is', 'ner': 'O', 'pos': 'VBZ'}, {'word': 'most', 'ner': 'O', 'pos': 'RBS'}, {'word': 'likely', 'ner': 'O', 'pos': 'JJ'}, {'word': 'all', 'ner': 'O', 'pos': 'DT'}, {'word': 'you', 'ner': 'O', 'pos': 'PRP'}, {'word': 'need', 'ner': 'O', 'pos': 'VBP'}]",70,5a49ad3fb87c4f033c306d9f,4
"[{'word': 'The', 'ner': 'O', 'pos': 'DT'}, {'word': 'problem', 'ner': 'O', 'pos': 'NN'}, {'word': 'starts', 'ner': 'O', 'pos': 'VBZ'}, {'word': 'when', 'ner': 'O', 'pos': 'WRB'}, {'word': 'you', 'ner': 'O', 'pos': 'PRP'}, {'word': 'want', 'ner': 'O', 'pos': 'VBP'}, {'word': 'to', 'ner': 'O', 'pos': 'TO'}, {'word': 'create', 'ner': 'O', 'pos': 'VB'}, {'word': 'plugins', 'ner': 'O', 'pos': 'NNS'}, {'word': 'especially', 'ner': 'O', 'pos': 'RB'}, {'word': 'UI', 'ner': 'O', 'pos': 'NNP'}, {'word': 'plugins', 'ner': 'O', 'pos': 'NNS'}]",28,5a49ad3fb87c4f033c306d9f,5
"[{'word': 'I', 'ner': 'O', 'pos': 'PRP'}, {'word': 'have', 'ner': 'O', 'pos': 'VBP'}, {'word': 'created', 'ner': 'O', 'pos': 'VBN'}, {'word': 'UI', 'ner': 'O', 'pos': 'NNP'}, {'word': 'plugins', 'ner': 'O', 'pos': 'NNS'}, {'word': 'in', 'ner': 'O', 'pos': 'IN'}, {'word': 'other', 'ner': 'O', 'pos': 'JJ'}, {'word': 'Frameworks', 'ner': 'O', 'pos': 'NNP'}, {'word': 'specifically', 'ner': 'O', 'pos': 'RB'}, {'word': 'a', 'ner': 'O', 'pos': 'DT'}, {'word': 'Bootstrap', 'ner': 'O', 'pos': 'NNP'}, {'word': 'native', 'ner': 'O', 'pos': 'JJ'}, {'word': 'implementation', 'ner': 'O', 'pos': 'NN'}, {'word': 'I', 'ner': 'O', 'pos': 'PRP'}, {'word': 'have', 'ner': 'O', 'pos': 'VBP'}, {'word': 'several', 'ner': 'O', 'pos': 'JJ'}, {'word': 'features', 'ner': 'O', 'pos': 'NNS'}, {'word': 'that', 'ner': 'O', 'pos': 'WDT'}, {'word': 'are', 'ner': 'O', 'pos': 'VBP'}, {'word': 'implemented', 'ner': 'O', 'pos': 'VBN'}, {'word': 'with', 'ner': 'O', 'pos': 'IN'}, {'word': 'Custom', 'ner': 'O', 'pos': 'NNP'}, {'word': 'Directives', 'ner': 'O', 'pos': 'NNPS'}, {'word': 'I', 'ner': 'O', 'pos': 'PRP'}, {'word': 'like', 'ner': 'O', 'pos': 'VBP'}, {'word': 'how', 'ner': 'O', 'pos': 'WRB'}, {'word': 'clean', 'ner': 'O', 'pos': 'JJ'}, {'word': 'they', 'ner': 'O', 'pos': 'PRP'}, {'word': 'are', 'ner': 'O', 'pos': 'VBP'}, {'word': 'that', 'ner': 'O', 'pos': 'DT'}, {'word': 'way', 'ner': 'O', 'pos': 'NN'}]",94,5a49ad3fb87c4f033c306d9f,6
"[{'word': 'But', 'ner': 'O', 'pos': 'CC'}, {'word': 'when', 'ner': 'O', 'pos': 'WRB'}, {'word': 'I', 'ner': 'O', 'pos': 'PRP'}, {'word': 'tried', 'ner': 'O', 'pos': 'VBD'}, {'word': 'to', 'ner': 'O', 'pos': 'TO'}, {'word': 'achieve', 'ner': 'O', 'pos': 'VB'}, {'word': 'the', 'ner': 'O', 'pos': 'DT'}, {'word': 'same', 'ner': 'O', 'pos': 'JJ'}, {'word': 'thing', 'ner': 'O', 'pos': 'NN'}, {'word': 'with', 'ner': 'O', 'pos': 'IN'}, {'word': 'Vue', 'ner': 'O', 'pos': 'NNP'}, {'word': 'well', 'ner': 'O', 'pos': 'RB'}, {'word': 'I', 'ner': 'O', 'pos': 'PRP'}, {'word': 'got', 'ner': 'O', 'pos': 'VBD'}, {'word': 'frustrated', 'ner': 'O', 'pos': 'JJ'}, {'word': 'very', 'ner': 'O', 'pos': 'RB'}, {'word': 'quickly', 'ner': 'O', 'pos': 'RB'}]",12,5a49ad3fb87c4f033c306d9f,7
"[{'word': 'Problem', 'ner': 'O', 'pos': 'NNP'}, {'word': 'Number', 'ner': 'O', 'pos': 'NNP'}, {'word': '1', 'ner': 'O', 'pos': 'CD'}, {'word': 'We', 'ner': 'O', 'pos': 'PRP'}, {'word': 'not_do', 'ner': 'O', 'pos': 'VBP'}, {'word': 'not_have', 'ner': 'O', 'pos': 'VBP'}, {'word': 'a', 'ner': 'O', 'pos': 'DT'}, {'word': 'Vue', 'ner': 'O', 'pos': 'NNP'}, {'word': 'instance', 'ner': 'O', 'pos': 'NN'}]",28,5a49ad3fb87c4f033c306d9f,8
"[{'word': 'I', 'ner': 'O', 'pos': 'PRP'}, {'word': 'wish', 'ner': 'O', 'pos': 'VBP'}, {'word': 'we', 'ner': 'O', 'pos': 'PRP'}, {'word': 'could', 'ner': 'O', 'pos': 'MD'}, {'word': 'create', 'ner': 'O', 'pos': 'VB'}, {'word': 'Custom', 'ner': 'O', 'pos': 'NNP'}, {'word': 'Directives', 'ner': 'O', 'pos': 'NNPS'}, {'word': 'the', 'ner': 'O', 'pos': 'DT'}, {'word': 'Same', 'ner': 'O', 'pos': 'NNP'}, {'word': 'way', 'ner': 'O', 'pos': 'NN'}, {'word': 'we', 'ner': 'O', 'pos': 'PRP'}, {'word': 'create', 'ner': 'O', 'pos': 'VBP'}, {'word': 'Custom', 'ner': 'O', 'pos': 'JJ'}, {'word': 'Components', 'ner': 'O', 'pos': 'NNS'}]",48,5a49ad3fb87c4f033c306d9f,9
