%-(	 NegativeSentiment 
%-)	 PositiveSentiment
(^ ^)	 PositiveSentiment 
(^-^)	 PositiveSentiment 
(^.^)	 PositiveSentiment 
(^_^)	 PositiveSentiment 
*\o/*	 PositiveSentiment
8)	 PositiveSentiment
8-0	 NegativeSentiment 
8/	 NegativeSentiment 
8\	 NegativeSentiment 
8c	 NegativeSentiment 
:#	 NegativeSentiment 
:'(	 NegativeSentiment 
:'-(	 NegativeSentiment 
:(	 NegativeSentiment 
:)	 PositiveSentiment 
:,(	 NegativeSentiment
:-&	 NegativeSentiment 
:-(	 NegativeSentiment 
:-)	 PositiveSentiment
:-/	 NegativeSentiment
:-D	 PositiveSentiment 
:-P	 PositiveSentiment 
:-S	 NegativeSentiment 
:-\	 NegativeSentiment 
:-|	 NegativeSentiment 
:-}	 PositiveSentiment 
:/	 NegativeSentiment 
:3	 PositiveSentiment 
:9	 PositiveSentiment 
:D	 PositiveSentiment 
:E	 NegativeSentiment 
:F	 NegativeSentiment 
:O	 NegativeSentiment 
:P	 PositiveSentiment 
:P	 PositiveSentiment 
:S	 NegativeSentiment 
:[	 NegativeSentiment
:[	 NegativeSentiment 
:\	 NegativeSentiment 
:]	 PositiveSentiment 
:_(	 NegativeSentiment 
:o(	 NegativeSentiment
:o)	 PositiveSentiment 
:p	 PositiveSentiment 
:s	 NegativeSentiment 
:|	 NegativeSentiment  
;^)	 PositiveSentiment 
=(	 NegativeSentiment
=)	 PositiveSentiment 
=[	 NegativeSentiment 
=]	 PositiveSentiment 
B(	 NegativeSentiment
Bc	 NegativeSentiment 
X(	 NegativeSentiment
X(	 NegativeSentiment 
X-(	 NegativeSentiment 
XD	 PositiveSentiment 
XD	 PositiveSentiment 
XO	 NegativeSentiment 
XP	 PositiveSentiment
^_^	 PositiveSentiment 
xD	 PositiveSentiment
|D	 PositiveSentiment
